Year,Submitted,Accepted,AcceptanceRate
2023,3182,879,27.6
2022,2579,637,24.7
2021,2845,747,26.3
2020,3126,760,24.3
2019,2958,703,23.8
2018,2592,666,25.7
2017,2400,600,25.0
2016,2435,565,23.0
2015,1520,379,25.0
2014,2043,465,23.0
2013,1963,392,20.0
2012,1577,370,23.0
2011,1532,410,27.0
2010,1346,302,22.0
2009,1130,277,25.0
2008,714,157,22.0
2007,840,182,22.0
2006,626,151,24.0
2005,372,93,25.0
2004,578,93,16.0
2003,468,75,16.0
2002,414,61,15.0
2001,352,69,20.0
2000,336,72,21.0
1999,312,78,25.0
1998,351,81,23.0
1997,234,55,24.0
1996,256,55,21.0
1995,228,66,29.0
1994,263,70,27.0
1993,330,62,19.0
1992,216,67,31.0
1991,240,56,23.0
1990,260,47,18.0
1989,199,54,27.0
1988,187,39,21.0
1987,166,46,28.0
1986,122,47,39.0
1985,170,35,21.0
1983,176,59,34.0
1982,165,75,45.0
