old_id,new_id
99659221353,81557422756
99659430317,81311484541
99660690048,87658692957
99659637509,99659261062
99659688104,81100380496
99660781956,81329489552
99660779865,99660237638
99659669442,81490684184
99660236196,99659681789
99659527623,99659736177
99660778770,99660308562
99659529704,81470655916
99660782993,99660782992
99659829109,99659153354
99660783392,81100591880
99659560370,99659261675
99660780066,99659486569
99659892117,99660533178
99660236689,99660074798
99659381011,81100369026
99660235569,99659231961
99660646941,81474686337
99659346410,99658748702
99659700417,81300210301
99660288667,99659366005
99658699452,99659893925
99660782410,99660375236
99660167404,81385591551
99660779791,99659155646
99660780144,99659201597
99660783696,81315488158
99659370715,81502722610
99659702612,81332525323
99659892032,81508685945
99659365638,99660958395
99660748697,99660674348
99659702670,99659572513
99660014122,99659022363
99659366177,81474700437
99660495792,81100151825
99660077390,99659211415
99659527731,81329492133
99659494234,81452602016
99659788485,99659702302
99659833658,99659020506
99659856304,99659051887
99659702154,81100052215
81547253356,81100622960
99659182712,81100359442
99660778897,99660566417
99660778654,99660276433
99660737524,99659260472
99659526662,81336488892
99659527621,81502641295
99660378038,81100521408
99660233660,99660233659
99660780240,99658640651
99660741428,81331498766
99658657389,99660590521
99659421712,81319487848
99660233882,99659529264
99660691235,99659333875
99660780800,99659697907
99659679795,81100090272
99660778541,99660085940
99659700497,99659534363
